state,score
Alabama,1
Alaska,0
American Samoa,0
Arizona,1
Arkansas,0
California,1
Colorado,2
Connecticut,1
Delaware,1
District of Columbia,1
Florida,1
Georgia,2
Guam,0
Hawaii,0
Idaho,1
Illinois,1
Indiana,1
Iowa,0
Kansas,1
Kentucky,1
Louisiana,1
Maine,1
Maryland,1
Massachusetts,1
Michigan,1
Minnesota,0
Minor Outlying Islands,0
Mississippi,0
Missouri,1
Montana,1
Nebraska,0
Nevada,1
New Hampshire,1
New Jersey,2
New Mexico,1
New York,1
North Carolina,1
North Dakota,0
Northern Mariana Islands,0
Ohio,1
Oklahoma,0
Oregon,1
Pennsylvania,1
Puerto Rico,0
Rhode Island,1
South Carolina,1
South Dakota,0
Tennessee,2
Texas,1
U.S. Virgin Islands,0
Utah,1
Vermont,1
Virginia,1
Washington,0
West Virginia,1
Wisconsin,1
Wyoming,1